source_name,author,title,description,url,published_at,fetched_at,country,category,domain,language,social_image,source_system
Google News,NBC News,'86 it': Restaurant workers say the term at the center of James Comey's indictment is 'everyday lingo' - NBC News,,https://news.google.com/rss/articles/CBMinwFBVV95cUxQd1pzLWRaZjktX1MwX3NmOF9RWGtYSmU4Z0VJOTZCaGlWN2ZDT3J1UmZYRDhhRkdLbWxFRUptSnBKZGpNaGlSVXpYRjVNVzZKeHVyd0tyd2ZQRV9BcE54cDhfUFdiWEFuLWNVQzdNTlpCTFJ0Vy1Ka1RhVG0xenIwZTJMN2RsLUdiTndyMDhlUUhGTjhUbS1IUU1NVEdlN00?oc=5,2026-04-30 00:15:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,MacRumors,YouTube Bringing Free Picture-in-Picture to iPhone Users Outside the U.S. - MacRumors,,https://news.google.com/rss/articles/CBMifEFVX3lxTE15Nk1fTXhyRjl6aG53SWtnTzdoLWNrMFZ3MEJhMFZZVjNiQ2ZxUmdvWmVlamhkQ2xDMFZnZFZVVWo4anNVeHF5dG5vSk1tc2l5Tm5GcHZHOElPWDBRZkw1RW5kVmc5M3dQcDhOVnB0dnVKMHJJRHJiSWY4TFI?oc=5,2026-04-30 00:01:14,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Action Network,"Rockets vs Lakers Prediction, Picks, Odds for NBA Playoffs Game 5 Tonight 4/29 - Action Network",,https://news.google.com/rss/articles/CBMiugFBVV95cUxQa2ZJRDJzTnhoaGRndWkwaXUyRXZJQTRSYkk1bTFfaDdHRHhZRm5OdmkwRS1wVUJFUUdXQXA4WGZqTHg4MVp3QUt6V0VYV2FoVmJ5Z2VCZGcxbDhmTEIwcGJ2WEZMRFJfWS1mVUtpV3BBRm9yaEhQS0FTM2xQblJhOWlEWElzRXY1cE1GakhnaUduTFRGNjEwcWZhcGRfaF9BZWhsdzJZY005RzU5Z1piRnAzZEJQNzl4b3c?oc=5,2026-04-29 23:58:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,The New York Times,Takeaways From Hegseth’s Testimony on Iran War and His Tenure - The New York Times,,https://news.google.com/rss/articles/CBMijwFBVV95cUxNcXJYVk8xRHZiLWtKYXpYMEFzTXREOUs5OUs3TWl1WUhGTUpMQzgxRTZYUF9sSGFqa0FmNmJOYTdLNEo2RmkweW1rRndMc2JPbXNVLXJiTDh2Q3Q0QzUyTzhSWGhqWk5nOWdmYUlyQnFvS2M2UGQyV1B1SkV0azVIcTB3VWJvaHFzZ2hmV2xLOA?oc=5,2026-04-29 23:56:13,2026-05-01T03:11:22.338056+00:00,Iran,broad_news,Unknown,en,,NewsAPI
Google News,TechCrunch,Satya Nadella says he’s ready to ‘exploit’ the new OpenAI deal - TechCrunch,,https://news.google.com/rss/articles/CBMimgFBVV95cUxPN29oRXRtQUd4ckU2LXByV1A5eVczUG0wWXN0OXV6MFV1OS1ZQVJXN0VOVldjUFFRUWc2TmpZVjVRV3g5LVU4Yk4wY3RTdFMtSmstQ1BtTnFrRnEwOWJVYUkteFgyNUFXVExfQ24tWUdDYWVNZlJFVDJhUWpaWHU0ajU1bm1qVHJFNWZFdl9VVnhpN2NBX2RQNkJ3?oc=5,2026-04-29 23:55:23,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,The New York Times,They Left for the School Bus. ICE Picked Them Up Instead. - The New York Times,,https://news.google.com/rss/articles/CBMijwFBVV95cUxQVzlES0JWNWdVWkd5YzcwSTNoYVNIYVFmRUlzMm5aRzBsaEFtNjdCZG1QbHRuWW96ajlzSWhHbGs1enptT0dhaEh5cHp2OFBJTmNfMnJ5REFzUjN6YUFkWE5HZldnenNtZUZ4VUI0NnVLOVJELWZsa2R6WkJhd3ZGYWs3Sy1RaGlDX1ZBRnVESQ?oc=5,2026-04-29 23:45:50,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,The Washington Post,Supreme Court limits key provision of the landmark Voting Rights Act - The Washington Post,,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQa3E1X0VGQ3B2b3hNX0E0SHNkUkpvV0ZmRXYzc0ZhRUFmLTRiSlB3YUttVVdGS2lMaGZPdmdZaFo4MU8tZ3NHa09DN1RpbTJkSGJRcjNFUEZWZEY3dWdVYkNvNExSZ1kweGpXa2hCdEdveWRBRmtIYTVCT0JGWHd5ZjNiQkhuV05FcW9WNGlxZ1NaVl9RVzhOdVJ0WU1vb1dkQmtmVXM1ZUQ?oc=5,2026-04-29 23:38:47,2026-05-01T03:11:22.338056+00:00,United States,broad_news,Unknown,en,,NewsAPI
Google News,Push Square,"Classic PS1, PSP Tales Remaster Leaks, But It Might Be a Nintendo Switch Exclusive - Push Square",,https://news.google.com/rss/articles/CBMivAFBVV95cUxNdzl6WlhDeDZnTnNaWjExVV9UcU1OMjRkYzl2LUMzY055X1RuMTRjcmNYYkFudk5iVUQ0Zkd2TlViZW5iWE1JN2ktVEttcTlCck9aR1FldTZEbDExTkNwNExhN3dZMVBvNzZGYW5OSW1rWU9IMnVoWGpIYU0wd0tfSVFSZjNIQ2ppMkY5SlVISnQ1MDR3TzJXR1RaN3J5WGtmaWREbUFqVk0tX0MybFZDVkxReFk4bjJxOGVMWg?oc=5,2026-04-29 23:30:00,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Bloomberg.com,"Alphabet Sales Beat Estimates on Google Cloud, AI Customers - Bloomberg.com",,https://news.google.com/rss/articles/CBMirgFBVV95cUxOMnZEMFh1OGdLSnFjUmRWTmdwdm9NSk9VYUJvd0lnckRTa3Npdk9VTlJzb0VQUnBKN21mR2hjNkFQclFfdzgwb0p0TWlUbkcweWx6VWxjY1lXOXhBTkQtcExZdHpvaTV6c1B0eWxTYWtrV3QxTGU2dlh4dEhNVmhabjE0UFF5QzFPRFBtOWhqS3I3Z21fbzJ3Y2xXRDFaYzBpSThHOHhaakpzampWVmc?oc=5,2026-04-29 23:22:11,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
Google News,Reuters,"Amazon tops cloud expectations on strong AI demand, shares rise - Reuters",,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPUk9JdVVkT1VwYXNEM3Fqc1FXSHpRZ19neTZBTHZleG1jVFQ4ZVAtbTRGT0JGOXBKa3QtdmNvY3JDTGl5NEc0U2U0dHlUYWlBYjJIcmhvY1B2cjFEUDEweDJGbjJsbGVjbDRONkFCTjJ4SHN3MGFXcFJSa1JFTmhMZXdZb2VpR0ROR3JMR0tOY0RJZnFOUmNOcGRPNkVLa0pfQ3RQZHI5NXl2QQ?oc=5,2026-04-29 23:12:01,2026-05-01T03:11:22.338056+00:00,Other,broad_news,Unknown,en,,NewsAPI
